scenario,layers,context_tokens,cached_dimension,dtype,analytical_mb,pytorch_storage_mb,storage_relative_error_pct,rss_delta_median_mb,rss_over_logical_pct,repetitions,device,torch_version
MHA,4,8192,1024,float16,134.217728,134.217728,0.0,134.221824,0.0030517578125,3,cpu,2.10.0+cpu
GQA-4/16,4,8192,256,float16,33.554432,33.554432,0.0,33.558528,0.01220703125,3,cpu,2.10.0+cpu
