check,observed,expected,absolute_error
Doble contexto MHA,2.000000000000,2.000000000000,0.000000000000e+00
GQA 8/32 heads,0.250000000000,0.250000000000,0.000000000000e+00
SWA 4 096/131 072,0.031250000000,0.031250000000,0.000000000000e+00
Latente 512/4096,0.125000000000,0.125000000000,0.000000000000e+00
INT8/FP16,0.500000000000,0.500000000000,0.000000000000e+00
